Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,FamilyCategory,Title,TitleAgeType,Deck,TicketPrefix,TicketLen,FarePerPerson,FareBin,AgeBin,AgeClass,ClassSex,ClassEmbarked,FareClass,TitleSex,WomenChild,HighClassFemale,Survived
3,male,65.0,0,0,7.75,Q,0,1,1,Single,Mr,Adult,Unknown,None,6,7.75,Low,Senior,195.0,3_male,3_Q,3_Low,Mr_male,0,0,0
3,male,35.0,0,0,7.05,S,0,1,1,Single,Mr,Adult,Unknown,SOTONOQ,18,7.05,Low,Adult,105.0,3_male,3_S,3_Low,Mr_male,0,0,0
2,female,24.0,0,2,14.5,S,0,3,0,Small,Mrs,Adult,Unknown,None,6,4.833333333333333,High,Adult,48.0,2_female,2_S,2_High,Mrs_female,1,0,1
3,female,28.5,0,0,7.75,Q,0,1,1,Single,Miss,Young,Unknown,None,5,7.75,Low,Adult,85.5,3_female,3_Q,3_Low,Miss_female,1,0,1
3,male,23.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,69.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,female,18.0,1,0,17.8,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,8.9,High,Teen,54.0,3_female,3_S,3_High,Mrs_female,1,0,0
1,female,35.0,0,0,135.6333,S,1,1,1,Single,Miss,Young,Unknown,PC,8,135.6333,VeryHigh,Adult,35.0,1_female,1_S,1_VeryHigh,Miss_female,1,1,1
2,female,28.0,0,0,13.0,S,0,1,1,Single,Miss,Young,Unknown,None,6,13.0,Mid,Adult,56.0,2_female,2_S,2_Mid,Miss_female,1,0,1
1,female,30.0,0,0,106.425,C,0,1,1,Single,Miss,Young,Unknown,PC,8,106.425,VeryHigh,Adult,30.0,1_female,1_C,1_VeryHigh,Miss_female,1,1,1
2,male,19.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,None,5,10.5,Mid,Adult,38.0,2_male,2_S,2_Mid,Mr_male,0,0,0
2,male,42.0,0,0,13.0,S,0,1,1,Single,Rare,Varied,Unknown,None,6,13.0,Mid,Middle,84.0,2_male,2_S,2_Mid,Rare_male,0,0,0
2,female,40.0,1,1,39.0,S,0,3,0,Small,Mrs,Adult,Unknown,None,5,13.0,VeryHigh,Middle,80.0,2_female,2_S,2_VeryHigh,Mrs_female,1,0,1
3,female,28.5,0,0,7.75,Q,0,1,1,Single,Miss,Young,Unknown,None,6,7.75,Low,Adult,85.5,3_female,3_Q,3_Low,Miss_female,1,0,1
3,male,51.0,0,0,7.75,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.75,Low,Middle,153.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,43.0,0,0,6.45,S,0,1,1,Single,Mr,Adult,Unknown,C,6,6.45,Low,Middle,129.0,3_male,3_S,3_Low,Mr_male,0,0,0
2,male,34.0,1,0,21.0,S,0,2,0,Small,Mr,Adult,Unknown,None,5,10.5,High,Adult,68.0,2_male,2_S,2_High,Mr_male,0,0,0
3,male,28.5,0,0,7.8958,C,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,85.5,3_male,3_C,3_Low,Mr_male,0,0,0
2,male,28.5,0,0,0.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,0.0,Low,Adult,57.0,2_male,2_S,2_Low,Mr_male,0,0,0
3,male,28.5,0,0,24.15,Q,0,1,1,Single,Mr,Adult,Unknown,None,6,24.15,High,Adult,85.5,3_male,3_Q,3_High,Mr_male,0,0,0
2,female,44.0,1,0,26.0,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,13.0,High,Middle,88.0,2_female,2_S,2_High,Mrs_female,1,0,0
3,male,22.0,0,0,9.35,S,0,1,1,Single,Mr,Adult,Unknown,Other,7,9.35,Mid,Adult,66.0,3_male,3_S,3_Mid,Mr_male,0,0,0
3,male,14.0,4,1,39.6875,S,0,6,0,Medium,Mr,Adult,Unknown,None,7,6.614583333333333,VeryHigh,Teen,42.0,3_male,3_S,3_VeryHigh,Mr_male,1,0,0
3,male,20.0,0,0,4.0125,C,0,1,1,Single,Mr,Adult,Unknown,None,4,4.0125,Low,Adult,60.0,3_male,3_C,3_Low,Mr_male,0,0,0
1,female,35.0,1,0,90.0,S,1,2,0,Small,Mrs,Adult,Unknown,None,5,45.0,VeryHigh,Adult,35.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1,1
3,female,18.0,0,0,7.775,S,0,1,1,Single,Miss,Young,Unknown,None,6,7.775,Low,Teen,54.0,3_female,3_S,3_Low,Miss_female,1,0,0
2,male,31.0,0,0,13.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,13.0,Mid,Adult,62.0,2_male,2_S,2_Mid,Mr_male,0,0,1
2,male,16.0,0,0,26.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,26.0,High,Teen,32.0,2_male,2_S,2_High,Mr_male,0,0,0
3,male,18.0,1,1,20.2125,S,0,3,0,Small,Mr,Adult,Unknown,None,6,6.7375,High,Teen,54.0,3_male,3_S,3_High,Mr_male,0,0,0
3,male,21.0,0,0,7.7333,Q,0,1,1,Single,Mr,Adult,Unknown,A,10,7.7333,Low,Adult,63.0,3_male,3_Q,3_Low,Mr_male,0,0,0
3,male,36.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Middle,108.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,16.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,10,8.05,Mid,Teen,48.0,3_male,3_S,3_Mid,Mr_male,0,0,0
3,female,28.5,0,0,7.8292,Q,0,1,1,Single,Miss,Young,Unknown,None,6,7.8292,Low,Adult,85.5,3_female,3_Q,3_Low,Miss_female,1,0,1
3,male,40.0,1,1,15.5,Q,0,3,0,Small,Mr,Adult,Unknown,None,6,5.166666666666667,High,Middle,120.0,3_male,3_Q,3_High,Mr_male,0,0,0
3,female,26.0,1,0,16.1,S,0,2,0,Small,Mrs,Adult,Unknown,A,9,8.05,High,Adult,78.0,3_female,3_S,3_High,Mrs_female,1,0,0
2,female,42.0,1,0,26.0,S,0,2,0,Small,Mrs,Adult,Unknown,Other,10,13.0,High,Middle,84.0,2_female,2_S,2_High,Mrs_female,1,0,1
1,female,45.0,1,1,164.8667,S,0,3,0,Small,Mrs,Adult,Unknown,None,5,54.95556666666667,VeryHigh,Middle,45.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1,1
1,female,35.0,1,0,52.0,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,26.0,VeryHigh,Adult,35.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1,1
1,male,28.5,0,0,29.7,C,1,1,1,Single,Mr,Adult,Unknown,None,5,29.7,High,Adult,28.5,1_male,1_C,1_High,Mr_male,0,0,1
1,male,28.5,0,0,30.0,S,1,1,1,Single,Mr,Adult,Unknown,None,5,30.0,High,Adult,28.5,1_male,1_S,1_High,Mr_male,0,0,1
3,male,38.0,0,0,8.6625,S,0,1,1,Single,Mr,Adult,Unknown,None,6,8.6625,Mid,Middle,114.0,3_male,3_S,3_Mid,Mr_male,0,0,0
3,male,42.0,0,0,7.65,S,1,1,1,Single,Mr,Adult,Unknown,None,6,7.65,Low,Middle,126.0,3_male,3_S,3_Low,Mr_male,0,0,0
2,male,35.0,0,0,26.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,26.0,High,Adult,70.0,2_male,2_S,2_High,Mr_male,0,0,0
3,female,23.0,0,0,7.925,S,0,1,1,Single,Miss,Young,Unknown,Other,16,7.925,Mid,Adult,69.0,3_female,3_S,3_Mid,Miss_female,1,0,0
2,female,27.0,1,0,13.8583,C,0,2,0,Small,Miss,Young,Unknown,SCPARIS,13,6.92915,Mid,Adult,54.0,2_female,2_C,2_Mid,Miss_female,1,0,1
2,male,36.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,CA,10,10.5,Mid,Middle,72.0,2_male,2_S,2_Mid,Mr_male,0,0,0
1,male,46.0,0,0,79.2,C,1,1,1,Single,Mr,Adult,Unknown,PC,8,79.2,VeryHigh,Middle,46.0,1_male,1_C,1_VeryHigh,Mr_male,0,0,0
1,female,42.0,0,0,227.525,C,0,1,1,Single,Miss,Young,Unknown,PC,8,227.525,VeryHigh,Middle,42.0,1_female,1_C,1_VeryHigh,Miss_female,1,1,1
1,male,52.0,0,0,30.5,S,1,1,1,Single,Rare,Varied,Unknown,None,6,30.5,High,Middle,52.0,1_male,1_S,1_High,Rare_male,0,0,1
3,male,21.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,10,8.05,Mid,Adult,63.0,3_male,3_S,3_Mid,Mr_male,0,0,0
3,male,25.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,75.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,29.0,0,0,7.775,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.775,Low,Adult,87.0,3_male,3_S,3_Low,Mr_male,0,0,0
1,male,28.5,0,0,27.7208,C,0,1,1,Single,Mr,Adult,Unknown,PC,8,27.7208,High,Adult,28.5,1_male,1_C,1_High,Mr_male,0,0,0
1,female,39.0,1,0,55.9,S,1,2,0,Small,Mrs,Adult,Unknown,None,5,27.95,VeryHigh,Middle,39.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1,1
1,female,54.0,1,0,59.4,C,0,2,0,Small,Mrs,Adult,Unknown,PC,8,29.7,VeryHigh,Middle,54.0,1_female,1_C,1_VeryHigh,Mrs_female,1,1,1
3,male,20.0,1,0,7.925,S,0,2,0,Small,Mr,Adult,Unknown,STONO ,17,3.9625,Mid,Adult,60.0,3_male,3_S,3_Mid,Mr_male,0,0,1
2,male,21.0,1,0,11.5,S,0,2,0,Small,Mr,Adult,Unknown,None,5,5.75,Mid,Adult,42.0,2_male,2_S,2_Mid,Mr_male,0,0,0
1,male,42.0,1,0,52.5542,S,1,2,0,Small,Mr,Adult,Unknown,None,5,26.2771,VeryHigh,Middle,42.0,1_male,1_S,1_VeryHigh,Mr_male,0,0,1
1,male,32.0,0,0,30.5,C,1,1,1,Single,Rare,Varied,Unknown,None,5,30.5,High,Adult,32.0,1_male,1_C,1_High,Rare_male,0,0,1
2,male,29.0,1,0,21.0,S,0,2,0,Small,Mr,Adult,Unknown,None,5,10.5,High,Adult,58.0,2_male,2_S,2_High,Mr_male,0,0,0
3,male,22.0,0,0,7.5208,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.5208,Low,Adult,66.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,39.0,0,0,7.925,S,0,1,1,Single,Mr,Adult,Unknown,STONO ,17,7.925,Mid,Middle,117.0,3_male,3_S,3_Mid,Mr_male,0,0,1
1,female,58.0,0,1,153.4625,S,1,2,0,Small,Mrs,Adult,Unknown,PC,8,76.73125,VeryHigh,Middle,58.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1,1
3,female,13.0,0,0,7.2292,C,0,1,1,Single,Miss,Young,Unknown,None,4,7.2292,Low,Teen,39.0,3_female,3_C,3_Low,Miss_female,1,0,1
1,female,19.0,0,2,26.2833,S,1,3,0,Small,Miss,Young,Unknown,None,5,8.7611,High,Adult,19.0,1_female,1_S,1_High,Miss_female,1,1,1
1,female,28.5,1,0,51.8625,S,1,2,0,Small,Mrs,Adult,Unknown,None,5,25.93125,VeryHigh,Adult,28.5,1_female,1_S,1_VeryHigh,Mrs_female,1,1,1
3,male,31.0,0,0,7.925,S,0,1,1,Single,Mr,Adult,Unknown,STONO ,17,7.925,Mid,Adult,93.0,3_male,3_S,3_Mid,Mr_male,0,0,1
1,female,39.0,1,1,83.1583,C,1,3,0,Small,Miss,Young,Unknown,PC,8,27.71943333333333,VeryHigh,Middle,39.0,1_female,1_C,1_VeryHigh,Miss_female,1,1,1
1,male,56.0,0,0,35.5,C,1,1,1,Single,Rare,Varied,Unknown,None,5,35.5,VeryHigh,Middle,56.0,1_male,1_C,1_VeryHigh,Rare_male,0,0,1
1,female,41.0,0,0,134.5,C,1,1,1,Single,Miss,Young,Unknown,None,5,134.5,VeryHigh,Middle,41.0,1_female,1_C,1_VeryHigh,Miss_female,1,1,1
3,male,2.0,3,1,21.075,S,0,5,0,Medium,Master,Child,Unknown,None,6,4.215,High,Child,6.0,3_male,3_S,3_High,Master_male,1,0,0
3,female,4.0,0,1,13.4167,C,0,2,0,Small,Miss,Young,Unknown,None,6,6.70835,Mid,Child,12.0,3_female,3_C,3_Mid,Miss_female,1,0,1
3,female,21.0,1,0,9.825,S,0,2,0,Small,Miss,Young,Unknown,None,4,4.9125,Mid,Adult,63.0,3_female,3_S,3_Mid,Miss_female,1,0,0
3,male,24.0,0,0,7.7958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.7958,Low,Adult,72.0,3_male,3_S,3_Low,Mr_male,0,0,0
1,male,25.0,1,0,55.4417,C,1,2,0,Small,Mr,Adult,Unknown,None,5,27.72085,VeryHigh,Adult,25.0,1_male,1_C,1_VeryHigh,Mr_male,0,0,1
2,male,28.0,0,1,33.0,S,0,2,0,Small,Rare,Varied,Unknown,None,6,16.5,VeryHigh,Adult,56.0,2_male,2_S,2_VeryHigh,Rare_male,0,0,0
2,female,50.0,0,1,26.0,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,13.0,High,Middle,100.0,2_female,2_S,2_High,Mrs_female,1,0,1
2,female,38.0,0,0,13.0,S,0,1,1,Single,Miss,Young,Unknown,None,6,13.0,Mid,Middle,76.0,2_female,2_S,2_Mid,Miss_female,1,0,0
3,male,23.0,0,0,7.8542,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8542,Low,Adult,69.0,3_male,3_S,3_Low,Mr_male,0,0,0
2,male,32.5,1,0,30.0708,C,0,2,0,Small,Mr,Adult,Unknown,None,6,15.0354,High,Adult,65.0,2_male,2_C,2_High,Mr_male,0,0,0
3,male,17.0,0,0,8.6625,S,0,1,1,Single,Mr,Adult,Unknown,None,6,8.6625,Mid,Teen,51.0,3_male,3_S,3_Mid,Mr_male,0,0,0
3,male,59.0,0,0,7.25,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.25,Low,Middle,177.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,36.0,1,0,15.55,S,0,2,0,Small,Mr,Adult,Unknown,None,6,7.775,High,Middle,108.0,3_male,3_S,3_High,Mr_male,0,0,0
3,male,28.5,0,0,7.75,Q,0,1,1,Single,Mr,Adult,Unknown,None,6,7.75,Low,Adult,85.5,3_male,3_Q,3_Low,Mr_male,0,0,1
3,male,22.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,66.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,female,26.0,0,0,7.8542,S,0,1,1,Single,Miss,Young,Unknown,None,6,7.8542,Low,Adult,78.0,3_female,3_S,3_Low,Miss_female,1,0,1
2,male,54.0,0,0,26.0,S,0,1,1,Single,Mr,Adult,Unknown,None,5,26.0,High,Middle,108.0,2_male,2_S,2_High,Mr_male,0,0,0
3,male,17.0,0,0,8.6625,S,0,1,1,Single,Mr,Adult,Unknown,None,6,8.6625,Mid,Teen,51.0,3_male,3_S,3_Mid,Mr_male,0,0,0
2,male,21.0,0,0,73.5,S,0,1,1,Single,Mr,Adult,Unknown,SOC,12,73.5,VeryHigh,Adult,42.0,2_male,2_S,2_VeryHigh,Mr_male,0,0,0
2,male,24.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,CA,10,10.5,Mid,Adult,48.0,2_male,2_S,2_Mid,Mr_male,0,0,0
3,female,29.0,0,2,15.2458,C,0,3,0,Small,Mrs,Adult,Unknown,None,4,5.081933333333333,High,Adult,87.0,3_female,3_C,3_High,Mrs_female,1,0,1
2,male,1.0,2,1,39.0,S,1,4,0,Small,Master,Child,Unknown,None,6,9.75,VeryHigh,Child,2.0,2_male,2_S,2_VeryHigh,Master_male,1,0,1
3,male,28.0,0,0,56.4958,S,0,1,1,Single,Mr,Adult,Unknown,None,4,56.4958,VeryHigh,Adult,84.0,3_male,3_S,3_VeryHigh,Mr_male,0,0,0
3,male,28.5,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,85.5,3_male,3_S,3_Low,Mr_male,0,0,0
1,male,37.0,1,1,52.5542,S,1,3,0,Small,Mr,Adult,Unknown,None,5,17.518066666666666,VeryHigh,Middle,37.0,1_male,1_S,1_VeryHigh,Mr_male,0,0,1
1,male,19.0,1,0,53.1,S,1,2,0,Small,Mr,Adult,Unknown,None,6,26.55,VeryHigh,Adult,19.0,1_male,1_S,1_VeryHigh,Mr_male,0,0,0
1,male,39.0,0,0,0.0,S,1,1,1,Single,Mr,Adult,Unknown,None,6,0.0,Low,Middle,39.0,1_male,1_S,1_Low,Mr_male,0,0,0
1,female,43.0,0,1,211.3375,S,1,2,0,Small,Mrs,Adult,Unknown,None,5,105.66875,VeryHigh,Middle,43.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1,1
1,male,36.0,1,0,78.85,S,1,2,0,Small,Mr,Adult,Unknown,None,5,39.425,VeryHigh,Middle,36.0,1_male,1_S,1_VeryHigh,Mr_male,0,0,0
1,male,28.5,0,0,39.6,C,0,1,1,Single,Rare,Varied,Unknown,None,6,39.6,VeryHigh,Adult,28.5,1_male,1_C,1_VeryHigh,Rare_male,0,0,0
3,female,15.0,0,0,7.225,C,0,1,1,Single,Miss,Young,Unknown,None,4,7.225,Low,Teen,45.0,3_female,3_C,3_Low,Miss_female,1,0,1
2,female,24.0,0,0,13.0,S,1,1,1,Single,Miss,Young,Unknown,None,6,13.0,Mid,Adult,48.0,2_female,2_S,2_Mid,Miss_female,1,0,1
3,male,29.0,0,0,9.4833,S,0,1,1,Single,Mr,Adult,Unknown,None,4,9.4833,Mid,Adult,87.0,3_male,3_S,3_Mid,Mr_male,0,0,0
3,male,19.0,0,0,0.0,S,0,1,1,Single,Mr,Adult,Unknown,Other,4,0.0,Low,Adult,57.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,27.0,1,0,14.4542,C,0,2,0,Small,Mr,Adult,Unknown,None,4,7.2271,Mid,Adult,81.0,3_male,3_C,3_Mid,Mr_male,0,0,0
1,female,22.0,0,1,55.0,S,1,2,0,Small,Miss,Young,Unknown,None,6,27.5,VeryHigh,Adult,22.0,1_female,1_S,1_VeryHigh,Miss_female,1,1,1
3,female,19.0,1,0,7.8542,S,0,2,0,Small,Miss,Young,Unknown,None,6,3.9271,Low,Adult,57.0,3_female,3_S,3_Low,Miss_female,1,0,1
1,male,49.0,1,0,89.1042,C,1,2,0,Small,Mr,Adult,Unknown,None,5,44.5521,VeryHigh,Middle,49.0,1_male,1_C,1_VeryHigh,Mr_male,0,0,1
2,male,21.0,2,0,73.5,S,0,3,0,Small,Mr,Adult,Unknown,SOC,12,24.5,VeryHigh,Adult,42.0,2_male,2_S,2_VeryHigh,Mr_male,0,0,0
3,female,18.0,0,0,7.4958,S,0,1,1,Single,Miss,Young,Unknown,None,7,7.4958,Low,Teen,54.0,3_female,3_S,3_Low,Miss_female,1,0,1
3,female,39.0,1,5,31.275,S,0,7,0,Medium,Mrs,Adult,Unknown,None,6,4.4678571428571425,VeryHigh,Middle,117.0,3_female,3_S,3_VeryHigh,Mrs_female,1,0,0
3,female,28.5,0,2,15.2458,C,0,3,0,Small,Mrs,Adult,Unknown,None,4,5.081933333333333,High,Adult,85.5,3_female,3_C,3_High,Mrs_female,1,0,0
1,male,4.0,0,2,81.8583,S,1,3,0,Small,Master,Child,Unknown,None,5,27.2861,VeryHigh,Child,4.0,1_male,1_S,1_VeryHigh,Master_male,1,0,1
3,male,18.0,1,0,6.4958,S,0,2,0,Small,Mr,Adult,Unknown,None,7,3.2479,Low,Teen,54.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,19.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,10,8.05,Mid,Adult,57.0,3_male,3_S,3_Mid,Mr_male,0,0,1
1,male,40.0,0,0,0.0,S,1,1,1,Single,Mr,Adult,Unknown,None,6,0.0,Low,Middle,40.0,1_male,1_S,1_Low,Mr_male,0,0,0
3,male,28.5,2,0,23.25,Q,0,3,0,Small,Mr,Adult,Unknown,None,6,7.75,High,Adult,85.5,3_male,3_Q,3_High,Mr_male,0,0,1
2,male,23.0,0,0,10.5,S,0,1,1,Single,Rare,Varied,Unknown,None,6,10.5,Mid,Adult,46.0,2_male,2_S,2_Mid,Rare_male,0,0,0
3,male,20.0,0,0,7.05,S,0,1,1,Single,Mr,Adult,Unknown,SOTONOQ,18,7.05,Low,Adult,60.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,33.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,99.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,32.0,0,0,7.75,Q,0,1,1,Single,Mr,Adult,Unknown,None,6,7.75,Low,Adult,96.0,3_male,3_Q,3_Low,Mr_male,0,0,0
3,male,44.0,0,0,7.925,S,0,1,1,Single,Mr,Adult,Unknown,STONO ,17,7.925,Mid,Middle,132.0,3_male,3_S,3_Mid,Mr_male,0,0,1
3,male,42.0,0,1,8.4042,S,0,2,0,Small,Mr,Adult,Unknown,None,4,4.2021,Mid,Middle,126.0,3_male,3_S,3_Mid,Mr_male,0,0,0
3,male,32.0,1,0,15.85,S,0,2,0,Small,Mr,Adult,Unknown,None,7,7.925,High,Adult,96.0,3_male,3_S,3_High,Mr_male,0,0,0
1,female,50.0,0,0,28.7125,C,1,1,1,Single,Miss,Young,Unknown,PC,8,28.7125,High,Middle,50.0,1_female,1_C,1_High,Miss_female,1,1,0
3,male,4.0,3,2,27.9,S,0,6,0,Medium,Master,Child,Unknown,None,6,4.6499999999999995,High,Child,12.0,3_male,3_S,3_High,Master_male,1,0,0
3,male,26.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,78.0,3_male,3_S,3_Low,Mr_male,0,0,0
2,female,22.0,1,2,41.5792,C,0,4,0,Small,Mrs,Adult,Unknown,Other,13,10.3948,VeryHigh,Adult,44.0,2_female,2_C,2_VeryHigh,Mrs_female,1,0,1
3,male,28.5,0,0,15.5,Q,0,1,1,Single,Mr,Adult,Unknown,None,5,15.5,High,Adult,85.5,3_male,3_Q,3_High,Mr_male,0,0,0
1,male,28.5,0,0,31.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,31.0,High,Adult,28.5,1_male,1_S,1_High,Mr_male,0,0,0
3,male,28.5,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,85.5,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,29.0,0,0,9.5,S,0,1,1,Single,Mr,Adult,Unknown,None,6,9.5,Mid,Adult,87.0,3_male,3_S,3_Mid,Mr_male,0,0,1
3,female,28.5,0,0,7.225,C,0,1,1,Single,Mrs,Adult,Unknown,None,4,7.225,Low,Adult,85.5,3_female,3_C,3_Low,Mrs_female,1,0,1
3,male,28.5,1,2,23.45,S,0,4,0,Small,Mr,Adult,Unknown,WC,10,5.8625,High,Adult,85.5,3_male,3_S,3_High,Mr_male,0,0,0
3,male,28.5,0,0,7.2292,C,0,1,1,Single,Mr,Adult,Unknown,None,4,7.2292,Low,Adult,85.5,3_male,3_C,3_Low,Mr_male,0,0,0
3,male,28.5,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,8,8.05,Mid,Adult,85.5,3_male,3_S,3_Mid,Mr_male,0,0,0
1,female,21.0,2,2,262.375,C,1,5,0,Medium,Miss,Young,Unknown,PC,8,52.475,VeryHigh,Adult,21.0,1_female,1_C,1_VeryHigh,Miss_female,1,1,1
1,female,52.0,1,1,93.5,S,1,3,0,Small,Mrs,Adult,Unknown,None,5,31.166666666666668,VeryHigh,Middle,52.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1,1
1,male,51.0,0,0,26.55,S,1,1,1,Single,Mr,Adult,Unknown,None,6,26.55,High,Middle,51.0,1_male,1_S,1_High,Mr_male,0,0,1
1,male,49.0,1,0,56.9292,C,1,2,0,Small,Rare,Varied,Unknown,PC,8,28.4646,VeryHigh,Middle,49.0,1_male,1_C,1_VeryHigh,Rare_male,0,0,1
2,male,28.5,0,0,0.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,0.0,Low,Adult,57.0,2_male,2_S,2_Low,Mr_male,0,0,0
1,female,22.0,0,0,151.55,S,0,1,1,Single,Miss,Young,Unknown,None,6,151.55,VeryHigh,Adult,22.0,1_female,1_S,1_VeryHigh,Miss_female,1,1,1
3,male,36.0,0,0,7.4958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.4958,Low,Middle,108.0,3_male,3_S,3_Low,Mr_male,0,0,0
3,male,28.0,0,0,22.525,S,0,1,1,Single,Mr,Adult,Unknown,C,6,22.525,High,Adult,84.0,3_male,3_S,3_High,Mr_male,0,0,0
3,male,16.0,4,1,39.6875,S,0,6,0,Medium,Mr,Adult,Unknown,None,7,6.614583333333333,VeryHigh,Teen,48.0,3_male,3_S,3_VeryHigh,Mr_male,0,0,0
3,male,18.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,8,8.05,Mid,Teen,54.0,3_male,3_S,3_Mid,Mr_male,0,0,1
3,male,15.0,1,1,7.2292,C,0,3,0,Small,Mr,Adult,Unknown,None,4,2.409733333333333,Low,Teen,45.0,3_male,3_C,3_Low,Mr_male,1,0,0
