Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,FamilyCategory,Title,TitleAgeType,Deck,TicketPrefix,TicketLen,FarePerPerson,FareBin,AgeBin,AgeClass,ClassSex,ClassEmbarked,FareClass,TitleSex,WomenChild,HighClassFemale
0,3,female,5.979821428571429,3,1,25.4667,S,0,5,0,Medium,Miss,Young,Unknown,None,4,5.0933399999999995,High,Child,17.939464285714287,3_female,3_S,3_High,Miss_female,1,0
0,3,male,30.0,1,0,16.1,S,0,2,0,Small,Mr,Adult,Unknown,A,9,8.05,High,Adult,90.0,3_male,3_S,3_High,Mr_male,0,0
1,1,female,32.0,0,0,76.2917,C,1,1,1,Single,Miss,Young,Unknown,None,5,76.2917,VeryHigh,Adult,32.0,1_female,1_C,1_VeryHigh,Miss_female,1,1
1,1,female,32.11938095238095,0,0,79.2,C,0,1,1,Single,Mrs,Adult,Unknown,PC,8,79.2,VeryHigh,Adult,32.11938095238095,1_female,1_C,1_VeryHigh,Mrs_female,1,1
1,2,male,19.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,Other,9,10.5,Mid,Adult,38.0,2_male,2_S,2_Mid,Mr_male,0,0
0,3,male,24.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,72.0,3_male,3_S,3_Low,Mr_male,0,0
1,2,female,45.0,0,0,13.5,S,0,1,1,Single,Mrs,Adult,Unknown,None,6,13.5,Mid,Middle,90.0,2_female,2_S,2_Mid,Mrs_female,1,0
0,3,male,23.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,69.0,3_male,3_S,3_Low,Mr_male,0,0
0,3,male,42.0,0,1,8.4042,S,0,2,0,Small,Mr,Adult,Unknown,None,4,4.2021,Mid,Middle,126.0,3_male,3_S,3_Mid,Mr_male,0,0
1,1,female,39.0,1,1,83.1583,C,1,3,0,Small,Miss,Young,Unknown,PC,8,27.71943333333333,VeryHigh,Middle,39.0,1_female,1_C,1_VeryHigh,Miss_female,1,1
1,3,male,16.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,SOTONOQ,15,8.05,Mid,Teen,48.0,3_male,3_S,3_Mid,Mr_male,0,0
0,3,male,28.08613077322936,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,84.25839231968808,3_male,3_S,3_Low,Mr_male,0,0
0,2,male,66.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,CA,10,10.5,Mid,Senior,132.0,2_male,2_S,2_Mid,Mr_male,0,0
1,1,male,28.0,0,0,26.55,S,1,1,1,Single,Mr,Adult,Unknown,None,6,26.55,High,Adult,28.0,1_male,1_S,1_High,Mr_male,0,0
0,2,male,51.0,0,0,12.525,S,0,1,1,Single,Rare,Varied,Unknown,Other,11,12.525,Mid,Middle,102.0,2_male,2_S,2_Mid,Rare_male,0,0
0,2,male,47.0,0,0,15.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,15.0,High,Middle,94.0,2_male,2_S,2_High,Mr_male,0,0
1,3,male,18.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,8,8.05,Mid,Teen,54.0,3_male,3_S,3_Mid,Mr_male,0,0
0,2,male,36.0,0,0,13.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,13.0,Mid,Middle,72.0,2_male,2_S,2_Mid,Mr_male,0,0
1,2,female,30.0,0,0,13.0,S,0,1,1,Single,Miss,Young,Unknown,None,6,13.0,Mid,Adult,60.0,2_female,2_S,2_Mid,Miss_female,1,0
1,2,female,22.0,1,1,29.0,S,0,3,0,Small,Mrs,Adult,Unknown,None,6,9.666666666666666,High,Adult,44.0,2_female,2_S,2_High,Mrs_female,1,0
0,3,female,27.068492875180368,0,0,7.75,Q,0,1,1,Single,Miss,Young,Unknown,None,6,7.75,Low,Adult,81.2054786255411,3_female,3_Q,3_Low,Miss_female,1,0
0,2,male,25.0,0,0,13.0,S,0,1,1,Single,Mr,Adult,Unknown,CA,10,13.0,Mid,Adult,50.0,2_male,2_S,2_Mid,Mr_male,0,0
0,3,male,25.252799873737366,0,0,7.2292,C,0,1,1,Single,Mr,Adult,Unknown,None,4,7.2292,Low,Adult,75.7583996212121,3_male,3_C,3_Low,Mr_male,0,0
1,2,female,32.0,0,0,13.0,S,0,1,1,Single,Mrs,Adult,Unknown,None,6,13.0,Mid,Adult,64.0,2_female,2_S,2_Mid,Mrs_female,1,0
1,3,male,32.323532994782994,0,0,7.775,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.775,Low,Adult,96.97059898434898,3_male,3_S,3_Low,Mr_male,0,0
1,3,female,19.0,1,0,7.8542,S,0,2,0,Small,Miss,Young,Unknown,None,6,3.9271,Low,Adult,57.0,3_female,3_S,3_Low,Miss_female,1,0
1,1,male,52.0,0,0,30.5,S,1,1,1,Single,Rare,Varied,Unknown,None,6,30.5,High,Middle,52.0,1_male,1_S,1_High,Rare_male,0,0
0,1,male,71.0,0,0,34.6542,C,1,1,1,Single,Mr,Adult,Unknown,PC,8,34.6542,VeryHigh,Senior,71.0,1_male,1_C,1_VeryHigh,Mr_male,0,0
0,3,male,32.0,0,0,7.925,S,0,1,1,Single,Mr,Adult,Unknown,STONO ,17,7.925,Mid,Adult,96.0,3_male,3_S,3_Mid,Mr_male,0,0
0,3,male,19.0,0,0,7.65,S,1,1,1,Single,Mr,Adult,Unknown,None,6,7.65,Low,Adult,57.0,3_male,3_S,3_Low,Mr_male,0,0
0,3,male,33.99775,1,0,15.5,Q,0,2,0,Small,Mr,Adult,Unknown,None,6,7.75,High,Adult,101.99325000000002,3_male,3_Q,3_High,Mr_male,0,0
0,3,female,22.0,0,0,9.8375,S,0,1,1,Single,Miss,Young,Unknown,None,4,9.8375,Mid,Adult,66.0,3_female,3_S,3_Mid,Miss_female,1,0
0,1,male,50.0,1,0,55.9,S,1,2,0,Small,Mr,Adult,Unknown,None,5,27.95,VeryHigh,Middle,50.0,1_male,1_S,1_VeryHigh,Mr_male,0,0
0,3,male,4.0,3,2,27.9,S,0,6,0,Medium,Master,Child,Unknown,None,6,4.6499999999999995,High,Child,12.0,3_male,3_S,3_High,Master_male,1,0
1,1,female,36.0,1,2,120.0,S,1,4,0,Small,Mrs,Adult,Unknown,None,6,30.0,VeryHigh,Middle,36.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1
0,1,male,19.0,1,0,53.1,S,1,2,0,Small,Mr,Adult,Unknown,None,6,26.55,VeryHigh,Adult,19.0,1_male,1_S,1_VeryHigh,Mr_male,0,0
1,1,female,30.0,0,0,31.0,C,0,1,1,Single,Miss,Young,Unknown,None,6,31.0,High,Adult,30.0,1_female,1_C,1_High,Miss_female,1,1
1,3,male,29.613297619047625,0,0,56.4958,S,0,1,1,Single,Mr,Adult,Unknown,None,4,56.4958,VeryHigh,Adult,88.83989285714287,3_male,3_S,3_VeryHigh,Mr_male,0,0
0,3,male,30.0,0,0,7.25,S,0,1,1,Single,Mr,Adult,Unknown,C,6,7.25,Low,Adult,90.0,3_male,3_S,3_Low,Mr_male,0,0
0,3,male,21.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,9,8.05,Mid,Adult,63.0,3_male,3_S,3_Mid,Mr_male,0,0
0,2,male,30.0,1,0,24.0,C,0,2,0,Small,Mr,Adult,Unknown,Other,9,12.0,High,Adult,60.0,2_male,2_C,2_High,Mr_male,0,0
1,2,female,18.0,0,1,23.0,S,0,2,0,Small,Miss,Young,Unknown,None,6,11.5,High,Teen,36.0,2_female,2_S,2_High,Miss_female,1,0
0,3,male,19.0,0,0,0.0,S,0,1,1,Single,Mr,Adult,Unknown,Other,4,0.0,Low,Adult,57.0,3_male,3_S,3_Low,Mr_male,0,0
1,1,female,38.0,0,0,227.525,C,1,1,1,Single,Miss,Young,Unknown,PC,8,227.525,VeryHigh,Middle,38.0,1_female,1_C,1_VeryHigh,Miss_female,1,1
0,3,male,10.0,3,2,27.9,S,0,6,0,Medium,Master,Child,Unknown,None,6,4.6499999999999995,High,Child,30.0,3_male,3_S,3_High,Master_male,1,0
0,2,male,35.057760836171056,0,0,0.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,0.0,Low,Middle,70.11552167234211,2_male,2_S,2_Low,Mr_male,0,0
0,3,female,29.0,1,1,10.4625,S,1,3,0,Small,Mrs,Adult,Unknown,None,6,3.4875000000000003,Mid,Adult,87.0,3_female,3_S,3_Mid,Mrs_female,1,0
0,3,male,30.631309794372306,0,0,7.3125,S,0,1,1,Single,Mr,Adult,Unknown,Other,9,7.3125,Low,Adult,91.89392938311693,3_male,3_S,3_Low,Mr_male,0,0
0,3,male,28.0,1,0,15.85,S,0,2,0,Small,Mr,Adult,Unknown,Other,16,7.925,High,Adult,84.0,3_male,3_S,3_High,Mr_male,0,0
0,3,female,39.0,1,5,31.275,S,0,7,0,Medium,Mrs,Adult,Unknown,None,6,4.4678571428571425,VeryHigh,Middle,117.0,3_female,3_S,3_VeryHigh,Mrs_female,1,0
0,3,female,2.0,0,1,10.4625,S,1,2,0,Small,Miss,Young,Unknown,None,6,5.23125,Mid,Child,6.0,3_female,3_S,3_Mid,Miss_female,1,0
0,2,male,30.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,WC,9,10.5,Mid,Adult,60.0,2_male,2_S,2_Mid,Mr_male,0,0
0,3,male,25.0,0,0,7.225,C,0,1,1,Single,Mr,Adult,Unknown,None,4,7.225,Low,Adult,75.0,3_male,3_C,3_Low,Mr_male,0,0
0,3,male,14.0,4,1,39.6875,S,0,6,0,Medium,Mr,Adult,Unknown,None,7,6.614583333333333,VeryHigh,Teen,42.0,3_male,3_S,3_VeryHigh,Mr_male,1,0
1,1,female,35.0,1,0,52.0,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,26.0,VeryHigh,Adult,35.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1
1,1,male,17.0,0,2,110.8833,C,1,3,0,Small,Mr,Adult,Unknown,None,5,36.9611,VeryHigh,Teen,17.0,1_male,1_C,1_VeryHigh,Mr_male,0,0
0,3,male,30.248197961760457,0,0,7.725,Q,0,1,1,Single,Mr,Adult,Unknown,None,5,7.725,Low,Adult,90.74459388528138,3_male,3_Q,3_Low,Mr_male,0,0
0,3,female,18.0,0,0,6.75,Q,0,1,1,Single,Miss,Young,Unknown,None,6,6.75,Low,Teen,54.0,3_female,3_Q,3_Low,Miss_female,1,0
1,3,female,23.0,0,0,7.55,S,0,1,1,Single,Miss,Young,Unknown,CA,8,7.55,Low,Adult,69.0,3_female,3_S,3_Low,Miss_female,1,0
0,3,male,50.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,8,8.05,Mid,Middle,150.0,3_male,3_S,3_Mid,Mr_male,0,0
1,1,female,21.0,2,2,262.375,C,1,5,0,Medium,Miss,Young,Unknown,PC,8,52.475,VeryHigh,Adult,21.0,1_female,1_C,1_VeryHigh,Miss_female,1,1
1,1,female,58.0,0,0,146.5208,C,1,1,1,Single,Miss,Young,Unknown,PC,8,146.5208,VeryHigh,Middle,58.0,1_female,1_C,1_VeryHigh,Miss_female,1,1
1,2,female,3.0,1,2,41.5792,C,0,4,0,Small,Miss,Young,Unknown,Other,13,10.3948,VeryHigh,Child,6.0,2_female,2_C,2_VeryHigh,Miss_female,1,0
1,2,female,13.0,0,1,19.5,S,0,2,0,Small,Miss,Young,Unknown,None,6,9.75,High,Teen,26.0,2_female,2_S,2_High,Miss_female,1,0
0,2,male,57.0,0,0,12.35,Q,0,1,1,Single,Rare,Varied,Unknown,None,6,12.35,Mid,Middle,114.0,2_male,2_Q,2_Mid,Rare_male,0,0
0,2,male,16.0,0,0,26.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,26.0,High,Teen,32.0,2_male,2_S,2_High,Mr_male,0,0
1,3,female,27.068492875180368,0,0,7.75,Q,0,1,1,Single,Miss,Young,Unknown,None,6,7.75,Low,Adult,81.2054786255411,3_female,3_Q,3_Low,Miss_female,1,0
0,2,male,60.0,1,1,39.0,S,0,3,0,Small,Mr,Adult,Unknown,None,5,13.0,VeryHigh,Middle,120.0,2_male,2_S,2_VeryHigh,Mr_male,0,0
0,1,male,22.0,0,0,135.6333,C,0,1,1,Single,Mr,Adult,Unknown,PC,8,135.6333,VeryHigh,Adult,22.0,1_male,1_C,1_VeryHigh,Mr_male,0,0
0,2,male,30.0,0,0,13.0,S,0,1,1,Single,Mr,Adult,Unknown,None,5,13.0,Mid,Adult,60.0,2_male,2_S,2_Mid,Mr_male,0,0
0,3,male,17.0,0,0,8.6625,S,0,1,1,Single,Mr,Adult,Unknown,None,6,8.6625,Mid,Teen,51.0,3_male,3_S,3_Mid,Mr_male,0,0
0,3,male,25.0,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,75.0,3_male,3_S,3_Low,Mr_male,0,0
1,3,male,27.0,0,0,8.6625,S,0,1,1,Single,Mr,Adult,Unknown,None,6,8.6625,Mid,Adult,81.0,3_male,3_S,3_Mid,Mr_male,0,0
0,3,male,36.0,0,0,0.0,S,0,1,1,Single,Mr,Adult,Unknown,Other,4,0.0,Low,Middle,108.0,3_male,3_S,3_Low,Mr_male,0,0
0,3,female,19.619655724392562,0,0,8.05,S,0,1,1,Single,Mrs,Adult,Unknown,None,6,8.05,Mid,Adult,58.85896717317769,3_female,3_S,3_Mid,Mrs_female,1,0
1,3,female,15.003125,0,0,7.2292,C,0,1,1,Single,Mrs,Adult,Unknown,None,4,7.2292,Low,Teen,45.009375000000006,3_female,3_C,3_Low,Mrs_female,1,0
0,3,male,29.0,0,0,9.4833,S,0,1,1,Single,Mr,Adult,Unknown,None,4,9.4833,Mid,Adult,87.0,3_male,3_S,3_Mid,Mr_male,0,0
1,1,female,30.0,0,0,106.425,C,0,1,1,Single,Miss,Young,Unknown,PC,8,106.425,VeryHigh,Adult,30.0,1_female,1_C,1_VeryHigh,Miss_female,1,1
0,3,male,29.748183707398017,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,None,6,8.05,Mid,Adult,89.24455112219405,3_male,3_S,3_Mid,Mr_male,0,0
0,1,male,51.0,0,1,61.3792,C,0,2,0,Small,Mr,Adult,Unknown,PC,8,30.6896,VeryHigh,Middle,51.0,1_male,1_C,1_VeryHigh,Mr_male,0,0
1,3,female,16.0,0,0,7.7333,Q,0,1,1,Single,Miss,Young,Unknown,None,5,7.7333,Low,Teen,48.0,3_female,3_Q,3_Low,Miss_female,1,0
1,3,female,27.068492875180368,0,0,7.75,Q,0,1,1,Single,Miss,Young,Unknown,None,5,7.75,Low,Adult,81.2054786255411,3_female,3_Q,3_Low,Miss_female,1,0
1,3,female,1.0,0,2,15.7417,C,0,3,0,Small,Miss,Young,Unknown,None,4,5.247233333333333,High,Child,3.0,3_female,3_C,3_High,Miss_female,1,0
0,3,male,22.0,0,0,7.7958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.7958,Low,Adult,66.0,3_male,3_S,3_Low,Mr_male,0,0
1,3,female,11.715988095238094,1,1,22.3583,C,1,3,0,Small,Miss,Young,Unknown,None,4,7.452766666666666,High,Child,35.14796428571428,3_female,3_C,3_High,Miss_female,1,0
0,3,male,7.0,4,1,29.125,Q,0,6,0,Medium,Master,Child,Unknown,None,6,4.854166666666667,High,Child,21.0,3_male,3_Q,3_High,Master_male,1,0
1,1,male,43.340833333333336,0,0,30.5,S,1,1,1,Single,Mr,Adult,Unknown,None,5,30.5,High,Middle,43.340833333333336,1_male,1_S,1_High,Mr_male,0,0
0,3,male,39.08720381701632,1,0,7.75,Q,0,2,0,Small,Mr,Adult,Unknown,None,6,3.875,Low,Middle,117.26161145104895,3_male,3_Q,3_Low,Mr_male,0,0
1,1,female,33.0,1,0,53.1,S,1,2,0,Small,Mrs,Adult,Unknown,None,6,26.55,VeryHigh,Adult,33.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1
0,3,male,7.0,4,1,39.6875,S,0,6,0,Medium,Master,Child,Unknown,None,7,6.614583333333333,VeryHigh,Child,21.0,3_male,3_S,3_VeryHigh,Master_male,1,0
0,3,male,32.0,0,0,7.75,Q,0,1,1,Single,Mr,Adult,Unknown,None,6,7.75,Low,Adult,96.0,3_male,3_Q,3_Low,Mr_male,0,0
0,2,male,50.0,0,0,13.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,13.0,Mid,Middle,100.0,2_male,2_S,2_Mid,Mr_male,0,0
0,2,male,59.0,0,0,13.5,S,0,1,1,Single,Mr,Adult,Unknown,None,6,13.5,Mid,Middle,118.0,2_male,2_S,2_Mid,Mr_male,0,0
0,1,male,28.0,1,0,82.1708,C,0,2,0,Small,Mr,Adult,Unknown,PC,8,41.0854,VeryHigh,Adult,28.0,1_male,1_C,1_VeryHigh,Mr_male,0,0
0,3,male,29.748183707398017,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,Other,15,8.05,Mid,Adult,89.24455112219405,3_male,3_S,3_Mid,Mr_male,0,0
0,1,male,60.0,0,0,26.55,S,0,1,1,Single,Rare,Varied,Unknown,None,6,26.55,High,Middle,60.0,1_male,1_S,1_High,Rare_male,0,0
0,3,female,17.0,0,0,14.4583,C,0,1,1,Single,Miss,Young,Unknown,None,4,14.4583,High,Teen,51.0,3_female,3_C,3_High,Miss_female,1,0
0,2,male,32.5,1,0,30.0708,C,0,2,0,Small,Mr,Adult,Unknown,None,6,15.0354,High,Adult,65.0,2_male,2_C,2_High,Mr_male,0,0
1,1,female,21.0,0,0,77.9583,S,1,1,1,Single,Miss,Young,Unknown,None,5,77.9583,VeryHigh,Adult,21.0,1_female,1_S,1_VeryHigh,Miss_female,1,1
1,3,male,3.0,4,2,31.3875,S,0,7,0,Medium,Master,Child,Unknown,None,6,4.483928571428572,VeryHigh,Child,9.0,3_male,3_S,3_VeryHigh,Master_male,1,0
0,2,male,19.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,None,5,10.5,Mid,Adult,38.0,2_male,2_S,2_Mid,Mr_male,0,0
1,2,female,24.0,2,3,18.75,S,0,6,0,Medium,Mrs,Adult,Unknown,None,5,3.125,High,Adult,48.0,2_female,2_S,2_High,Mrs_female,1,0
1,1,female,18.0,0,2,79.65,S,1,3,0,Small,Miss,Young,Unknown,None,6,26.55,VeryHigh,Teen,18.0,1_female,1_S,1_VeryHigh,Miss_female,1,1
1,1,female,49.0,0,0,25.9292,S,1,1,1,Single,Rare,Varied,Unknown,None,5,25.9292,High,Middle,49.0,1_female,1_S,1_High,Rare_female,1,1
0,3,female,41.0,0,2,20.2125,S,0,3,0,Small,Mrs,Adult,Unknown,None,6,6.7375,High,Middle,123.0,3_female,3_S,3_High,Mrs_female,1,0
1,3,male,30.0,0,0,9.5,S,0,1,1,Single,Mr,Adult,Unknown,None,6,9.5,Mid,Adult,90.0,3_male,3_S,3_Mid,Mr_male,0,0
0,3,male,59.0,0,0,7.25,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.25,Low,Middle,177.0,3_male,3_S,3_Low,Mr_male,0,0
1,3,female,4.0,0,1,13.4167,C,0,2,0,Small,Miss,Young,Unknown,None,6,6.70835,Mid,Child,12.0,3_female,3_C,3_Mid,Miss_female,1,0
0,3,female,24.730999999999998,0,2,15.2458,C,0,3,0,Small,Mrs,Adult,Unknown,None,4,5.081933333333333,High,Adult,74.193,3_female,3_C,3_High,Mrs_female,1,0
0,3,male,51.0,0,0,7.75,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.75,Low,Middle,153.0,3_male,3_S,3_Low,Mr_male,0,0
1,2,female,45.0,1,1,26.25,S,0,3,0,Small,Mrs,Adult,Unknown,Other,12,8.75,High,Middle,90.0,2_female,2_S,2_High,Mrs_female,1,0
0,3,male,18.0,1,1,20.2125,S,0,3,0,Small,Mr,Adult,Unknown,None,6,6.7375,High,Teen,54.0,3_male,3_S,3_High,Mr_male,0,0
0,3,female,14.201456349206353,8,2,69.55,S,0,11,0,Large,Miss,Young,Unknown,CA,8,6.322727272727272,VeryHigh,Teen,42.60436904761906,3_female,3_S,3_VeryHigh,Miss_female,1,0
1,3,female,31.706583333333334,1,0,15.5,Q,0,2,0,Small,Miss,Young,Unknown,None,6,7.75,High,Adult,95.11975000000001,3_female,3_Q,3_High,Miss_female,1,0
0,2,male,28.0,0,1,33.0,S,0,2,0,Small,Rare,Varied,Unknown,None,6,16.5,VeryHigh,Adult,56.0,2_male,2_S,2_VeryHigh,Rare_male,0,0
0,3,male,55.5,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,10,8.05,Mid,Middle,166.5,3_male,3_S,3_Mid,Mr_male,0,0
0,1,male,24.0,0,1,247.5208,C,1,2,0,Small,Mr,Adult,Unknown,PC,8,123.7604,VeryHigh,Adult,24.0,1_male,1_C,1_VeryHigh,Mr_male,0,0
0,1,male,40.50378030303031,0,0,0.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,0.0,Low,Middle,40.50378030303031,1_male,1_S,1_Low,Mr_male,0,0
1,3,female,27.920833333333334,1,0,16.1,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,8.05,High,Adult,83.7625,3_female,3_S,3_High,Mrs_female,1,0
0,3,male,17.260699999999996,1,2,23.45,S,0,4,0,Small,Mr,Adult,Unknown,WC,10,5.8625,High,Teen,51.782099999999986,3_male,3_S,3_High,Mr_male,0,0
0,3,male,13.598253968253976,8,2,69.55,S,0,11,0,Large,Master,Child,Unknown,CA,8,6.322727272727272,VeryHigh,Teen,40.79476190476193,3_male,3_S,3_VeryHigh,Master_male,1,0
1,2,female,29.0,1,0,26.0,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,13.0,High,Adult,58.0,2_female,2_S,2_High,Mrs_female,1,0
1,1,female,58.0,0,1,153.4625,S,1,2,0,Small,Mrs,Adult,Unknown,PC,8,76.73125,VeryHigh,Middle,58.0,1_female,1_S,1_VeryHigh,Mrs_female,1,1
1,3,female,26.0,0,0,7.925,S,0,1,1,Single,Miss,Young,Unknown,Other,16,7.925,Mid,Adult,78.0,3_female,3_S,3_Mid,Miss_female,1,0
1,1,female,44.0,0,1,57.9792,C,1,2,0,Small,Mrs,Adult,Unknown,None,6,28.9896,VeryHigh,Middle,44.0,1_female,1_C,1_VeryHigh,Mrs_female,1,1
0,3,male,35.663032738095225,0,0,7.225,C,0,1,1,Single,Mr,Adult,Unknown,None,4,7.225,Low,Middle,106.98909821428568,3_male,3_C,3_Low,Mr_male,0,0
0,3,male,32.0,0,0,8.3625,S,0,1,1,Single,Mr,Adult,Unknown,None,4,8.3625,Mid,Adult,96.0,3_male,3_S,3_Mid,Mr_male,0,0
0,2,male,26.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,None,5,10.5,Mid,Adult,52.0,2_male,2_S,2_Mid,Mr_male,0,0
0,3,male,16.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,10,8.05,Mid,Teen,48.0,3_male,3_S,3_Mid,Mr_male,0,0
0,3,male,19.0,0,0,7.775,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.775,Low,Adult,57.0,3_male,3_S,3_Low,Mr_male,0,0
0,3,male,28.08613077322936,0,0,7.8958,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8958,Low,Adult,84.25839231968808,3_male,3_S,3_Low,Mr_male,0,0
0,3,male,48.0,0,0,7.8542,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.8542,Low,Middle,144.0,3_male,3_S,3_Low,Mr_male,0,0
0,3,male,47.23933016983016,0,0,7.75,Q,0,1,1,Single,Mr,Adult,Unknown,None,6,7.75,Low,Middle,141.71799050949048,3_male,3_Q,3_Low,Mr_male,0,0
0,3,male,9.0,5,2,46.9,S,0,8,0,Large,Master,Child,Unknown,CA,7,5.8625,VeryHigh,Child,27.0,3_male,3_S,3_VeryHigh,Master_male,1,0
